endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt
space,54.4844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,15.4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.6004,NAN,,NAN,,0,17,17,17,1,18,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_22.jpeg,liked,2.682944783,,,,,,,,,,,,
,,,,,,space,0.6255,NAN,,NAN,,0,18,18,18,1,19,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_19.jpeg,did not like,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.4346,0,0,0,0,1,1.1559,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_23.jpeg,did not like,3.195382774,,,,,,,,,,,,
,,,,,,space,0.2938,NAN,,NAN,,0,20,20,20,1,21,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_16.jpeg,liked,1.779333479,,,,,,,,,,,,
,,,,,,space,0.4752,NAN,,NAN,,0,21,21,21,1,22,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_26.jpeg,liked,4.312468682,,,,,,,,,,,,
,,,,,,space,0.9103,NAN,,NAN,,0,22,22,22,1,23,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_27.jpeg,did not like,4.940433059,,,,,,,,,,,,
,,,,,,space,0.685,NAN,,NAN,,0,23,23,23,1,24,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_24.jpeg,liked,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.451,0,0,0,0,1,1.3439,,
,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_20.jpeg,liked,3.602308302,,,,,,,,,,,,
,,,,,,space,0.4605,NAN,,NAN,,0,25,25,25,1,26,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_12.jpeg,did not like,4.106391878,,,,,,,,,,,,
,,,,,,space,0.5774,NAN,,NAN,,0,26,26,26,1,27,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_11.jpeg,did not like,3.799433026,,,,,,,,,,,,
