PROLIFIC_ID,condition_recode,aggregated_value,choice
5aec7e89ae13140001fc0cdf,1,1,0.0
5aec7e89ae13140001fc0cdf,1,1,0.0
5aec7e89ae13140001fc0cdf,1,1,0.0
5aec7e89ae13140001fc0cdf,1,1,1.0
5aec7e89ae13140001fc0cdf,1,1,0.0
5aec7e89ae13140001fc0cdf,-1,-1,0.0
5aec7e89ae13140001fc0cdf,-1,-1,0.0
5aec7e89ae13140001fc0cdf,-1,-1,0.0
5aec7e89ae13140001fc0cdf,-1,1,0.0
5aec7e89ae13140001fc0cdf,-1,-1,0.0
5aec7e89ae13140001fc0cdf,-1,-1,0.0
5aec7e89ae13140001fc0cdf,0,-1,0.0
5aec7e89ae13140001fc0cdf,0,1,0.0
5aec7e89ae13140001fc0cdf,0,-1,0.0
5aec7e89ae13140001fc0cdf,0,1,0.0
5aec7e89ae13140001fc0cdf,0,1,0.0
5aec7e89ae13140001fc0cdf,0,-1,0.0
5aec7e89ae13140001fc0cdf,1,1,0.0
5aec7e89ae13140001fc0cdf,1,1,0.0
5aec7e89ae13140001fc0cdf,1,1,0.0
5aec7e89ae13140001fc0cdf,1,1,1.0
5aec7e89ae13140001fc0cdf,1,1,1.0
5aec7e89ae13140001fc0cdf,1,-1,0.0
5b6c312fa1fda800015fe165,1,1,999.0
5b6c312fa1fda800015fe165,1,-1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,0,1,1.0
5b6c312fa1fda800015fe165,0,1,1.0
5b6c312fa1fda800015fe165,0,1,1.0
5b6c312fa1fda800015fe165,0,-1,1.0
5b6c312fa1fda800015fe165,0,-1,1.0
5b6c312fa1fda800015fe165,0,-1,1.0
5b6c312fa1fda800015fe165,1,-1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,1,-1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,1,1,1.0
5b6c312fa1fda800015fe165,-1,1,1.0
5b6c312fa1fda800015fe165,-1,1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5b6c312fa1fda800015fe165,-1,-1,1.0
5bcc60b95c2b810001dc68e2,0,-1,999.0
5bcc60b95c2b810001dc68e2,0,1,0.0
5bcc60b95c2b810001dc68e2,0,-1,1.0
5bcc60b95c2b810001dc68e2,0,1,0.0
5bcc60b95c2b810001dc68e2,0,-1,0.0
5bcc60b95c2b810001dc68e2,0,1,0.0
