PROLIFIC_ID,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
5ec75df0d799ae1c11a8115c,1,0.0,2.0,4.5,5.5,0.18181818181818182,-1.5,1,1.1818181818181819,14.0,23.0,0.0,12
5ec75df0d799ae1c11a8115c,2,0.0,3.5,3.0,7,0.0,-1.5,1,1.0833333333333333,14.0,23.0,0.0,12
5eefc651cb94ad4c4d017b86,0,0.0,1.0,5.0,5,0.8,-2.0,1,1.0,4.0,34.0,1.0,21
5eefc651cb94ad4c4d017b86,1,0.0,1.5,5.0,5,0.36363636363636365,-2.0,1,1.2727272727272727,4.0,34.0,1.0,21
5eefc651cb94ad4c4d017b86,2,0.0,3.5,3.0,7,0.7272727272727273,-2.0,1,1.6363636363636365,4.0,34.0,1.0,21
5f16f559325a640008bb9a07,0,0.0,2.0,1.0,9,1.0,0.0,0,1.0,1.0,36.0,1.0,12
5f16f559325a640008bb9a07,1,0.0,1.5,1.0,9,1.0,0.0,0,0.7272727272727273,1.0,36.0,1.0,12
5f16f559325a640008bb9a07,2,0.0,3.5,1.0,9,1.0,0.0,0,0.08333333333333333,1.0,36.0,1.0,12
5f32bc368853aa03df112fc6,0,0.0,3.0,3.0,7,0.0,-3.5,1,1.0,3.0,23.0,0.0,12
5f32bc368853aa03df112fc6,1,0.0,2.0,4.5,5.5,1.0,-3.5,1,1.6,3.0,23.0,0.0,12
5f32bc368853aa03df112fc6,2,0.0,5.0,1.0,9,0.5833333333333334,-3.5,1,1.4166666666666667,3.0,23.0,0.0,12
5f985596be2ea910b23827ed,0,1.0,2.0,4.0,4.0,0.0,-0.5,1,0.0,57.0,23.0,0.0,21
5f985596be2ea910b23827ed,1,1.0,3.0,5.0,5.0,0.0,-0.5,1,0.9090909090909091,57.0,23.0,0.0,21
5f985596be2ea910b23827ed,2,1.0,3.0,5.5,5.5,0.0,-0.5,1,0.5454545454545454,57.0,23.0,0.0,21
5f9873550513db147c9d2958,0,1.0,2.0,5.0,5.0,0.5,0.0,0,0.0,3.0,23.0,0.0,21
5f9873550513db147c9d2958,1,1.0,1.5,5.0,5.0,0.5833333333333334,0.0,0,1.0,3.0,23.0,0.0,21
5f9873550513db147c9d2958,2,1.0,1.5,5.0,5.0,0.45454545454545453,0.0,0,0.8181818181818182,3.0,23.0,0.0,21
5fd18d125e1f92195b1717bc,0,1.0,3.0,5.0,5.0,0.16666666666666666,-0.5,1,0.6666666666666666,4.0,26.0,1.0,12
5fd18d125e1f92195b1717bc,1,1.0,2.5,5.0,5.0,0.2727272727272727,-0.5,1,1.5454545454545454,4.0,26.0,1.0,12
5fd18d125e1f92195b1717bc,2,1.0,3.5,5.5,5.5,0.3333333333333333,-0.5,1,0.9166666666666666,4.0,26.0,1.0,12
5ff27bb4ad8fba794c1b96fa,0,0.0,2.0,7.0,3,0.0,-1.0,1,0.6666666666666666,8.0,35.0,0.0,21
5ff27bb4ad8fba794c1b96fa,1,0.0,1.5,7.0,3,0.0,-1.0,1,0.5,8.0,35.0,0.0,21
5ff27bb4ad8fba794c1b96fa,2,0.0,2.5,6.0,4,0.0,-1.0,1,0.5454545454545454,8.0,35.0,0.0,21
6056bcf1cee7a41435889255,0,1.0,2.0,9.0,9.0,0.0,-0.5,1,0.3333333333333333,2.0,29.0,0.0,21
6056bcf1cee7a41435889255,1,1.0,1.5,8.5,8.5,0.0,-0.5,1,0.75,2.0,29.0,0.0,21
6056bcf1cee7a41435889255,2,1.0,2.0,9.0,9.0,0.18181818181818182,-0.5,1,1.1818181818181819,2.0,29.0,0.0,21
605b5b5feff0e95f2cd60834,0,1.0,1.0,7.0,7.0,0.0,0.0,0,1.2,2.0,25.0,0.0,21
605b5b5feff0e95f2cd60834,1,1.0,1.0,6.0,6.0,0.5833333333333334,0.0,0,1.25,2.0,25.0,0.0,21
605b5b5feff0e95f2cd60834,2,1.0,1.5,6.0,6.0,0.36363636363636365,0.0,0,1.0,2.0,25.0,0.0,21
608209b96e955ba5201eff25,0,1.0,3.0,5.0,5.0,1.0,-1.5,1,1.0,2.0,21.0,0.0,12
608209b96e955ba5201eff25,1,1.0,2.0,5.0,5.0,1.0,-1.5,1,1.4545454545454546,2.0,21.0,0.0,12
608209b96e955ba5201eff25,2,1.0,4.0,6.5,6.5,1.0,-1.5,1,1.1666666666666667,2.0,21.0,0.0,12
60bff9298f56d55c8ecd9adf,0,0.0,1.0,3.0,7,1.0,0.0,0,1.0,4.0,32.0,0.0,21
60bff9298f56d55c8ecd9adf,1,0.0,1.5,2.5,7.5,0.6666666666666666,0.0,0,1.0,4.0,32.0,0.0,21
60bff9298f56d55c8ecd9adf,2,0.0,3.0,2.5,7.5,0.6363636363636364,0.0,0,1.0,4.0,32.0,0.0,21
60d2b326161a622cd363268a,0,1.0,1.0,5.0,5.0,0.4,-2.5,1,1.4,2.0,32.0,0.0,12
60d2b326161a622cd363268a,1,1.0,2.0,4.5,4.5,0.25,-2.5,1,1.0,2.0,32.0,0.0,12
60d2b326161a622cd363268a,2,1.0,4.0,7.0,7.0,0.3333333333333333,-2.5,1,1.1666666666666667,2.0,32.0,0.0,12
60dbf4d94a3b5564b68881e8,0,0.0,1.0,6.0,4,0.0,-1.5,1,1.3333333333333333,3.0,23.0,0.0,12
60dbf4d94a3b5564b68881e8,1,0.0,1.5,7.5,2.5,0.0,-1.5,1,0.45454545454545453,3.0,23.0,0.0,12
60dbf4d94a3b5564b68881e8,2,0.0,2.5,6.0,4,0.0,-1.5,1,0.9166666666666666,3.0,23.0,0.0,12
60ea57c074a703877f04330b,0,1.0,3.0,9.0,9.0,0.5,0.0,0,1.0,17.0,30.0,1.0,12
60ea57c074a703877f04330b,1,1.0,4.0,9.0,9.0,0.45454545454545453,0.0,0,0.6363636363636364,17.0,30.0,1.0,12
60ea57c074a703877f04330b,2,1.0,4.5,9.0,9.0,1.0,0.0,0,0.3333333333333333,17.0,30.0,1.0,12
60ef2700e476748689a999f7,0,0.0,2.0,1.0,9,1.0,0.0,0,1.3333333333333333,4.0,31.0,0.0,12
60ef2700e476748689a999f7,1,0.0,1.0,1.0,9,1.0,0.0,0,1.4545454545454546,4.0,31.0,0.0,12
60ef2700e476748689a999f7,2,0.0,3.5,1.0,9,0.9,0.0,0,1.3,4.0,31.0,0.0,12
60f4e3ab507bbb123f866e88,0,1.0,3.0,5.0,5.0,0.0,-0.5,1,1.0,2.0,24.0,0.0,12
60f4e3ab507bbb123f866e88,1,1.0,2.5,5.0,5.0,0.18181818181818182,-0.5,1,1.5454545454545454,2.0,24.0,0.0,12
60f4e3ab507bbb123f866e88,2,1.0,4.0,5.5,5.5,0.0,-0.5,1,1.1666666666666667,2.0,24.0,0.0,12
60fcebba7345a976efc9c080,0,0.0,2.0,5.0,5,0.16666666666666666,-0.5,1,1.3333333333333333,2.0,999.0,999.0,21
60fcebba7345a976efc9c080,1,0.0,2.0,5.5,4.5,0.18181818181818182,-0.5,1,1.7272727272727273,2.0,999.0,999.0,21
60fcebba7345a976efc9c080,2,0.0,2.5,5.0,5,0.2727272727272727,-0.5,1,1.1818181818181819,2.0,999.0,999.0,21
60fd56db5fe37ebeca00bc83,0,1.0,2.0,5.0,5.0,1.0,-1.0,1,1.2,2.0,33.0,0.0,21
60fd56db5fe37ebeca00bc83,1,1.0,3.5,6.0,6.0,0.9166666666666666,-1.0,1,1.0,2.0,33.0,0.0,21
60fd56db5fe37ebeca00bc83,2,1.0,3.5,7.0,7.0,1.0,-1.0,1,1.0833333333333333,2.0,33.0,0.0,21
60fd5a99c4e4ead0c9a6fff4,0,1.0,3.0,3.0,3.0,1.0,0.0,0,1.0,2.0,29.0,0.0,12
60fd5a99c4e4ead0c9a6fff4,1,1.0,2.5,3.0,3.0,1.0,0.0,0,0.8181818181818182,2.0,29.0,0.0,12
60fd5a99c4e4ead0c9a6fff4,2,1.0,3.5,3.0,3.0,1.0,0.0,0,0.8333333333333334,2.0,29.0,0.0,12
