PROLIFIC_ID,TrialNumber,Partner,Condition,Photos,Feedback,sharenextphoto_key.rt,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.rt,salience_rating,stress_level
61006614d4c56450afce3a6b,56,Taylor,Rej,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_26.jpeg,did not like,1.7185,,,,,NAN,NAN
61006614d4c56450afce3a6b,57,Taylor,Rej,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_13.jpeg,did not like,4.2219,,,,,NAN,NAN
61006614d4c56450afce3a6b,58,Taylor,Rej,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_17.jpeg,liked,4.3737,,,,,NAN,NAN
61006614d4c56450afce3a6b,59,Taylor,Rej,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_28.jpeg,did not like,4.5381,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,s,1,1.1921,0.6775,,
61006614d4c56450afce3a6b,60,Taylor,Rej,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_21.jpeg,did not like,,,,,,4,3
61006614d4c56450afce3a6b,61,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_18.jpeg,liked,1.5488,,,,,NAN,NAN
61006614d4c56450afce3a6b,62,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_2.jpeg,liked,4.3016,,,,,NAN,NAN
61006614d4c56450afce3a6b,63,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_4.jpeg,liked,5.0398,,,,,NAN,NAN
61006614d4c56450afce3a6b,64,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_13.jpeg,did not like,6.4107,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,s,1,1.8253,0.9708,,
61006614d4c56450afce3a6b,65,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_29.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,66,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_9.jpeg,liked,2.115,,,,,NAN,NAN
61006614d4c56450afce3a6b,67,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_15.jpeg,did not like,10.5936,,,,,NAN,NAN
61006614d4c56450afce3a6b,68,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_22.jpeg,liked,1.7511,,,,,NAN,NAN
61006614d4c56450afce3a6b,69,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_12.jpeg,liked,1.3906,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,s,1,1.6423,0.7691,,
61006614d4c56450afce3a6b,70,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_17.jpeg,did not like,,,,,,NAN,NAN
61006614d4c56450afce3a6b,71,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_30.jpeg,liked,1.0092,,,,,NAN,NAN
61006614d4c56450afce3a6b,72,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_8.jpeg,liked,1.6394,,,,,NAN,NAN
61006614d4c56450afce3a6b,73,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_27.jpeg,did not like,1.025,,,,,NAN,NAN
61006614d4c56450afce3a6b,74,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_25.jpeg,liked,1.1745,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,s,1,2.5689,0.8167,,
61006614d4c56450afce3a6b,75,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_6.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,76,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_26.jpeg,did not like,0.635,,,,,NAN,NAN
61006614d4c56450afce3a6b,77,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_23.jpeg,liked,0.7047,,,,,NAN,NAN
61006614d4c56450afce3a6b,78,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_20.jpeg,did not like,2.1396,,,,,NAN,NAN
61006614d4c56450afce3a6b,79,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_28.jpeg,liked,0.6479,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,s,1,1.5644,1.5444,,
61006614d4c56450afce3a6b,80,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_21.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,81,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_7.jpeg,did not like,1.3979,,,,,NAN,NAN
61006614d4c56450afce3a6b,82,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_24.jpeg,liked,425.3762,,,,,NAN,NAN
61006614d4c56450afce3a6b,83,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_10.jpeg,liked,2.1648,,,,,NAN,NAN
61006614d4c56450afce3a6b,84,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_11.jpeg,did not like,44.2329,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,,999,,10.4869,,
61006614d4c56450afce3a6b,85,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_1.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,86,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_19.jpeg,did not like,1.6196,,,,,NAN,NAN
61006614d4c56450afce3a6b,87,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_5.jpeg,liked,6.2029,,,,,NAN,NAN
61006614d4c56450afce3a6b,88,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_3.jpeg,liked,55.9197,,,,,NAN,NAN
61006614d4c56450afce3a6b,89,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_14.jpeg,liked,7.158,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,c,0,1.158,7.9437,,
61006614d4c56450afce3a6b,90,Riley,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_16.jpeg,liked,,,,,,4,3
61006614d4c56450afce3a6b,91,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_22.jpeg,liked,1.6659,,,,,NAN,NAN
61006614d4c56450afce3a6b,92,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_21.jpeg,did not like,8.0452,,,,,NAN,NAN
61006614d4c56450afce3a6b,93,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_18.jpeg,did not like,12.3801,,,,,NAN,NAN
61006614d4c56450afce3a6b,94,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_23.jpeg,liked,11.5586,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,,999,,4.2984,,
61006614d4c56450afce3a6b,95,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_4.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,96,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_2.jpeg,liked,8.3663,,,,,NAN,NAN
61006614d4c56450afce3a6b,97,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_12.jpeg,did not like,51.0938,,,,,NAN,NAN
61006614d4c56450afce3a6b,98,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_1.jpeg,liked,150.1672,,,,,NAN,NAN
61006614d4c56450afce3a6b,99,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_5.jpeg,liked,10.3955,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,,999,,231.343,,
61006614d4c56450afce3a6b,100,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_19.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,101,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_29.jpeg,liked,21.7056,,,,,NAN,NAN
61006614d4c56450afce3a6b,102,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_10.jpeg,liked,5.7418,,,,,NAN,NAN
61006614d4c56450afce3a6b,103,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_8.jpeg,liked,2.5078,,,,,NAN,NAN
