PROLIFIC_ID,trialnumber,choice,condition,feedback_words,condition_recode,feedbackvalue,aggregated_value
568d286ab5a2c2000cb6a91c,85.0,1.0,Neutral,liked,0,-1,-1.0
568d286ab5a2c2000cb6a91c,86.0,0.0,Neutral,did not like,0,1,1.0
568d286ab5a2c2000cb6a91c,87.0,0.0,Neutral,did not like,0,1,1.0
568d286ab5a2c2000cb6a91c,88.0,0.0,Neutral,liked,0,-1,1.0
568d286ab5a2c2000cb6a91c,89.0,0.0,Neutral,liked,0,-1,1.0
568d286ab5a2c2000cb6a91c,90.0,0.0,Neutral,did not like,0,1,1.0
568d286ab5a2c2000cb6a91c,91.0,1.0,Rej,liked,1,-1,1.0
568d286ab5a2c2000cb6a91c,92.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,93.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,94.0,1.0,Rej,liked,1,-1,1.0
568d286ab5a2c2000cb6a91c,95.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,96.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,97.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,98.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,99.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,100.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,101.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,102.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,103.0,1.0,Rej,liked,1,-1,1.0
568d286ab5a2c2000cb6a91c,104.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,105.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,106.0,1.0,Rej,liked,1,-1,1.0
568d286ab5a2c2000cb6a91c,107.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,108.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,109.0,1.0,Rej,liked,1,-1,1.0
568d286ab5a2c2000cb6a91c,110.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,111.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,112.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,113.0,1.0,Rej,liked,1,-1,1.0
568d286ab5a2c2000cb6a91c,114.0,1.0,Rej,did not like,1,1,1.0
