TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_10.jpeg,did not like,3.613205605
2,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_11.jpeg,liked,4.988446431
3,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_18.jpeg,liked,3.470791822
4,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_1.jpeg,did not like,3.820572462
5,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_24.jpeg,did not like,2.455989137
6,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_19.jpeg,liked,3.79605092
7,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_4.jpeg,liked,3.562416326
8,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_6.jpeg,liked,2.843822497
9,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_17.jpeg,liked,3.546495948
10,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_13.jpeg,liked,1.672012706
11,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_8.jpeg,did not like,4.942172136
12,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_14.jpeg,liked,2.50187214
13,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_30.jpeg,did not like,2.071164779
14,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_2.jpeg,liked,5.336503566
15,Sam,Acc,Participant_Images/63e51e528df11f83a1aacab8/63e51e528df11f83a1aacab8_Images/63e51e528df11f83a1aacab8_Image_9.jpeg,did not like,2.642157193
