PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
60fd89617258b322c92fdd03,space,5.3739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,4.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,1.6158,space,0.8435,NAN,,NAN,,0,0,0,0,1,1,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_10.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.4968,NAN,,NAN,,0,1,1,1,1,2,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_13.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.6013,NAN,,NAN,,0,2,2,2,1,3,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_26.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.4272,NAN,,NAN,,0,3,3,3,1,4,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_15.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.5313,space,0.8383,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_12.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.7017,NAN,,NAN,,0,5,5,5,1,6,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_7.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.557,NAN,,NAN,,0,6,6,6,1,7,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_8.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.4788,NAN,,NAN,,0,7,7,7,1,8,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_16.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.4334,NAN,,NAN,,0,8,8,8,1,9,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_23.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.6768,space,1.1185,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_25.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.4665,NAN,,NAN,,0,10,10,10,1,11,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_27.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.9897,NAN,,NAN,,0,11,11,11,1,12,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_6.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.5658,NAN,,NAN,,0,12,12,12,1,13,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_24.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.5416,NAN,,NAN,,0,13,13,13,1,14,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_30.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.1331,space,0.8556,0,0,0,0,1,h,1.6962,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_21.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.9995,NAN,,NAN,,0,15,15,15,1,16,Alex,Neutral,Participant_Images/60fd89617258b322c92fdd03/60fd89617258b322c92fdd03_Images/60fd89617258b322c92fdd03_Image_29.jpeg,liked,4.456234322,,,,,,,,,,,,,,
