endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
space,9.6281,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,space,14.1802,,,,,,,,,,,,,,,,,,,
,,,,space,2.9025,space,4.1447,NAN,,NAN,,0,0,0,0,1,1,Taylor,Rej,Participant_Images/5a4636c92f91ec0001dcba07/5a4636c92f91ec0001dcba07_Images/5a4636c92f91ec0001dcba07_Image_15.jpeg,liked,3.613205605
,,,,,,space,1.3578,NAN,,NAN,,0,1,1,1,1,2,Taylor,Rej,Participant_Images/5a4636c92f91ec0001dcba07/5a4636c92f91ec0001dcba07_Images/5a4636c92f91ec0001dcba07_Image_12.jpeg,did not like,4.988446431
,,,,,,space,0.407,NAN,,NAN,,0,2,2,2,1,3,Taylor,Rej,Participant_Images/5a4636c92f91ec0001dcba07/5a4636c92f91ec0001dcba07_Images/5a4636c92f91ec0001dcba07_Image_2.jpeg,did not like,3.470791822
,,,,,,space,0.7728,NAN,,NAN,,0,3,3,3,1,4,Taylor,Rej,Participant_Images/5a4636c92f91ec0001dcba07/5a4636c92f91ec0001dcba07_Images/5a4636c92f91ec0001dcba07_Image_11.jpeg,did not like,3.820572462
