PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63d7c5cbacd85e95302f3a62,space,28.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,19.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.309,NAN,,NAN,,0,17,17,17,1,18,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_9.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.366,NAN,,NAN,,0,18,18,18,1,19,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_1.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.556,0,0,0,0,1,1.921,h,0.816,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_29.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.395,NAN,,NAN,,0,20,20,20,1,21,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_17.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.431,NAN,,NAN,,0,21,21,21,1,22,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_30.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.795,NAN,,NAN,,0,22,22,22,1,23,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_22.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.446,NAN,,NAN,,0,23,23,23,1,24,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_13.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.717,0,0,0,0,1,1.347,h,0.822,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_6.jpeg,liked,3.602308302,,,,,,,,,,,,,,
