PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
5dee8ee31255595293a9906b,,,,,,,space,0.5496,NAN,,NAN,,0.0,15.0,15.0,15.0,1.0,16.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_4.jpeg,liked,4.456234322,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,1.0837,NAN,,NAN,,0.0,16.0,16.0,16.0,1.0,17.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_1.jpeg,liked,4.438512181,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.7255,NAN,,NAN,,0.0,17.0,17.0,17.0,1.0,18.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_7.jpeg,did not like,2.682944783,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.3503,NAN,,NAN,,0.0,18.0,18.0,18.0,1.0,19.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_18.jpeg,did not like,4.51984296,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.5629,0.0,0.0,0.0,0.0,1.0,0.8204,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,19.0,19.0,19.0,1.0,20.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_2.jpeg,did not like,3.195382774,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5341,NAN,,NAN,,0.0,20.0,20.0,20.0,1.0,21.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_14.jpeg,did not like,1.779333479,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5073,NAN,,NAN,,0.0,21.0,21.0,21.0,1.0,22.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_9.jpeg,did not like,4.312468682,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.9785,NAN,,NAN,,0.0,22.0,22.0,22.0,1.0,23.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_8.jpeg,liked,4.940433059,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5668,NAN,,NAN,,0.0,23.0,23.0,23.0,1.0,24.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_17.jpeg,did not like,2.7105123,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.5618,0.0,0.0,0.0,0.0,1.0,1.4113,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,24.0,24.0,24.0,1.0,25.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_10.jpeg,did not like,3.602308302,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.317,NAN,,NAN,,0.0,25.0,25.0,25.0,1.0,26.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_22.jpeg,did not like,4.106391878,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.6125,NAN,,NAN,,0.0,26.0,26.0,26.0,1.0,27.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_20.jpeg,liked,3.799433026,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.6159,NAN,,NAN,,0.0,27.0,27.0,27.0,1.0,28.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_21.jpeg,did not like,5.246980764,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.3672,NAN,,NAN,,0.0,28.0,28.0,28.0,1.0,29.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_30.jpeg,liked,3.30081769,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.5099,0.0,0.0,0.0,0.0,1.0,0.8871,,,
5dee8ee31255595293a9906b,,,,,,,,,2,,2,,0.0,29.0,29.0,29.0,1.0,30.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_3.jpeg,liked,1.661473164,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,space,1.2124,space,0.8837,NAN,,NAN,,0.0,30.0,30.0,30.0,1.0,31.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_3.jpeg,liked,3.613205605,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.8577,NAN,,NAN,,0.0,31.0,31.0,31.0,1.0,32.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_27.jpeg,liked,4.988446431,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.6781,NAN,,NAN,,0.0,32.0,32.0,32.0,1.0,33.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_12.jpeg,liked,3.470791822,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.7719,NAN,,NAN,,0.0,33.0,33.0,33.0,1.0,34.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_8.jpeg,did not like,3.820572462,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.6574,0.0,0.0,0.0,0.0,1.0,1.3785,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,34.0,34.0,34.0,1.0,35.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_2.jpeg,did not like,2.455989137,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5424,NAN,,NAN,,0.0,35.0,35.0,35.0,1.0,36.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_1.jpeg,liked,3.79605092,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,1.1896,NAN,,NAN,,0.0,36.0,36.0,36.0,1.0,37.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_14.jpeg,did not like,3.562416326,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5583,NAN,,NAN,,0.0,37.0,37.0,37.0,1.0,38.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_16.jpeg,did not like,2.843822497,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.4405,NAN,,NAN,,0.0,38.0,38.0,38.0,1.0,39.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_22.jpeg,liked,3.546495948,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,2.399,0.0,0.0,0.0,0.0,1.0,0.7133,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,39.0,39.0,39.0,1.0,40.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_7.jpeg,did not like,1.672012706,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.4153,NAN,,NAN,,0.0,40.0,40.0,40.0,1.0,41.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_5.jpeg,liked,4.942172136,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5847,NAN,,NAN,,0.0,41.0,41.0,41.0,1.0,42.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_21.jpeg,liked,2.50187214,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5826,NAN,,NAN,,0.0,42.0,42.0,42.0,1.0,43.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_11.jpeg,did not like,2.071164779,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5225,NAN,,NAN,,0.0,43.0,43.0,43.0,1.0,44.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_18.jpeg,liked,5.336503566,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,1.7508,0.0,0.0,0.0,0.0,1.0,0.7238,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,44.0,44.0,44.0,1.0,45.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_26.jpeg,liked,2.642157193,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,1.0167,NAN,,NAN,,0.0,45.0,45.0,45.0,1.0,46.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_15.jpeg,liked,4.456234322,,,,,,,,,,,,,
