PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63ddc6baab6a2130b8a41bf7,space,11.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,6.6277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,1.4023,space,0.8642,NAN,,NAN,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_20.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.8236,NAN,,NAN,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_4.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,,space,0.9504,NAN,,NAN,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_15.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,,space,1.0499,NAN,,NAN,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_6.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,4.6397,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_8.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,,space,0.9399,NAN,,NAN,,0,5,5,5,1,6,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_5.jpeg,did not like,3.79605092,,,,,,,,,,,,
,,,,,,,space,0.6369,NAN,,NAN,,0,6,6,6,1,7,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_9.jpeg,did not like,3.562416326,,,,,,,,,,,,
,,,,,,,space,0.6334,NAN,,NAN,,0,7,7,7,1,8,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_30.jpeg,did not like,2.843822497,,,,,,,,,,,,
,,,,,,,space,0.7657,NAN,,NAN,,0,8,8,8,1,9,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_14.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6141,0,0,0,0,1,0.8676,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_11.jpeg,did not like,1.672012706,,,,,,,,,,,,
,,,,,,,space,0.7194,NAN,,NAN,,0,10,10,10,1,11,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_17.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,,space,0.7873,NAN,,NAN,,0,11,11,11,1,12,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_7.jpeg,did not like,2.50187214,,,,,,,,,,,,
,,,,,,,space,0.7531,NAN,,NAN,,0,12,12,12,1,13,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_10.jpeg,liked,2.071164779,,,,,,,,,,,,
,,,,,,,space,0.6545,NAN,,NAN,,0,13,13,13,1,14,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_24.jpeg,liked,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.636,0,0,0,0,1,0.8488,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_19.jpeg,did not like,2.642157193,,,,,,,,,,,,
,,,,,,,space,0.7456,NAN,,NAN,,0,15,15,15,1,16,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_28.jpeg,did not like,4.456234322,,,,,,,,,,,,
,,,,,,,space,0.8692,NAN,,NAN,,0,16,16,16,1,17,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_29.jpeg,did not like,4.438512181,,,,,,,,,,,,
,,,,,,,space,0.767,NAN,,NAN,,0,17,17,17,1,18,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_16.jpeg,liked,2.682944783,,,,,,,,,,,,
,,,,,,,space,0.7346,NAN,,NAN,,0,18,18,18,1,19,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_23.jpeg,did not like,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5302,0,0,0,0,1,0.5912,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_22.jpeg,did not like,3.195382774,,,,,,,,,,,,
,,,,,,,space,0.5336,NAN,,NAN,,0,20,20,20,1,21,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_27.jpeg,did not like,1.779333479,,,,,,,,,,,,
,,,,,,,space,0.7993,NAN,,NAN,,0,21,21,21,1,22,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_3.jpeg,liked,4.312468682,,,,,,,,,,,,
,,,,,,,space,1.3874,NAN,,NAN,,0,22,22,22,1,23,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_18.jpeg,did not like,4.940433059,,,,,,,,,,,,
,,,,,,,space,3.1215,NAN,,NAN,,0,23,23,23,1,24,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_1.jpeg,liked,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5975,0,0,0,0,1,0.8445,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_12.jpeg,liked,3.602308302,,,,,,,,,,,,
,,,,,,,space,0.5867,NAN,,NAN,,0,25,25,25,1,26,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_25.jpeg,did not like,4.106391878,,,,,,,,,,,,
,,,,,,,space,0.5079,NAN,,NAN,,0,26,26,26,1,27,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_26.jpeg,did not like,3.799433026,,,,,,,,,,,,
,,,,,,,space,0.67,NAN,,NAN,,0,27,27,27,1,28,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_21.jpeg,did not like,5.246980764,,,,,,,,,,,,
,,,,,,,space,0.6991,NAN,,NAN,,0,28,28,28,1,29,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_2.jpeg,did not like,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5307,0,0,0,0,1,0.7316,,
,,,,,,,,,2,,3,,0,29,29,29,1,30,Charlie,Rej,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_13.jpeg,did not like,1.661473164,,,,,,,,,,,,
,,,,,space,1.2888,space,0.717,NAN,,NAN,,0,30,30,30,1,31,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_1.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.6364,NAN,,NAN,,0,31,31,31,1,32,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_14.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,,space,0.4761,NAN,,NAN,,0,32,32,32,1,33,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_22.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.5007,NAN,,NAN,,0,33,33,33,1,34,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_25.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.1309,0,0,0,0,1,0.8896,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_8.jpeg,did not like,2.455989137,,,,,,,,,,,,
,,,,,,,space,1.0187,NAN,,NAN,,0,35,35,35,1,36,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_17.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,,space,0.5364,NAN,,NAN,,0,36,36,36,1,37,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_7.jpeg,liked,3.562416326,,,,,,,,,,,,
,,,,,,,space,0.5339,NAN,,NAN,,0,37,37,37,1,38,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_24.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,,space,0.5867,NAN,,NAN,,0,38,38,38,1,39,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_26.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.531,0,0,0,0,1,0.8978,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_23.jpeg,liked,1.672012706,,,,,,,,,,,,
,,,,,,,space,0.9719,NAN,,NAN,,0,40,40,40,1,41,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_12.jpeg,liked,4.942172136,,,,,,,,,,,,
,,,,,,,space,0.5869,NAN,,NAN,,0,41,41,41,1,42,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_11.jpeg,did not like,2.50187214,,,,,,,,,,,,
,,,,,,,space,0.7363,NAN,,NAN,,0,42,42,42,1,43,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_29.jpeg,liked,2.071164779,,,,,,,,,,,,
,,,,,,,space,0.7532,NAN,,NAN,,0,43,43,43,1,44,Riley,Neutral,Participant_Images/63ddc6baab6a2130b8a41bf7/63ddc6baab6a2130b8a41bf7_Images/63ddc6baab6a2130b8a41bf7_Image_28.jpeg,did not like,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6755,0,0,0,0,1,0.5729,,
