PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63ced670c8d001d1d5057140,space,8.6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,7.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.4442,space,1.4417,NAN,,NAN,,0,0,0,0,1,1,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_4.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.7486,NAN,,NAN,,0,1,1,1,1,2,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_24.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,1.1023,NAN,,NAN,,0,2,2,2,1,3,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_14.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,1.1171,NAN,,NAN,,0,3,3,3,1,4,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_25.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,3.8397,,space,1.3225,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_15.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.4499,NAN,,NAN,,0,5,5,5,1,6,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_17.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,1.575,NAN,,NAN,,0,6,6,6,1,7,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_26.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,1.2387,NAN,,NAN,,0,7,7,7,1,8,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_22.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.3843,NAN,,NAN,,0,8,8,8,1,9,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_30.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.9419,h,space,1.2019,0,0,0,0,1,1.5118,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_6.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,1.2835,NAN,,NAN,,0,10,10,10,1,11,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_20.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,1.6685,NAN,,NAN,,0,11,11,11,1,12,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_23.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,105.1041,NAN,,NAN,,0,12,12,12,1,13,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_5.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,3.5582,NAN,,NAN,,0,13,13,13,1,14,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_21.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,2.3791,l,space,1.6219,0,0,0,0,1,1.6709,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_16.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.3333,NAN,,NAN,,0,15,15,15,1,16,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_11.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.7368,NAN,,NAN,,0,16,16,16,1,17,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_27.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.5386,NAN,,NAN,,0,17,17,17,1,18,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_2.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.7534,NAN,,NAN,,0,18,18,18,1,19,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_18.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.6439,h,space,0.3707,0,0,0,0,1,1.4592,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_19.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.4737,NAN,,NAN,,0,20,20,20,1,21,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_10.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.7005,NAN,,NAN,,0,21,21,21,1,22,Riley,Acc,Participant_Images/63ced670c8d001d1d5057140/63ced670c8d001d1d5057140_Images/63ced670c8d001d1d5057140_Image_8.jpeg,liked,4.312468682,,,,,,,,,,,,,,
