endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran
space,2.5999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,2.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.1949,NAN,,NAN,,0,6,6,6,1,7,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_18.jpeg,liked,3.562416326,,,,,,,,,
,,,,,,space,12.2935,NAN,,NAN,,0,7,7,7,1,8,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_1.jpeg,did not like,2.843822497,,,,,,,,,
,,,,,,space,0.4511,NAN,,NAN,,0,8,8,8,1,9,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_22.jpeg,did not like,3.546495948,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.0528,0,0,0,0,1
,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_27.jpeg,did not like,1.672012706,,,,,,,,,
,,,,,,space,10.7039,NAN,,NAN,,0,10,10,10,1,11,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_7.jpeg,did not like,4.942172136,,,,,,,,,
,,,,,,space,9.5549,NAN,,NAN,,0,11,11,11,1,12,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_28.jpeg,did not like,2.50187214,,,,,,,,,
,,,,,,space,7.4137,NAN,,NAN,,0,12,12,12,1,13,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_6.jpeg,did not like,2.071164779,,,,,,,,,
,,,,,,space,1.1673,NAN,,NAN,,0,13,13,13,1,14,Riley,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_24.jpeg,liked,5.336503566,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,7.3549,0,0,0,0,1
