endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.8838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1.665,NAN,,NAN,,0,20,20,20,1,21,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_8.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,space,0.5644,NAN,,NAN,,0,21,21,21,1,22,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_18.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,space,1.0374,NAN,,NAN,,0,22,22,22,1,23,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_30.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,space,1.084,NAN,,NAN,,0,23,23,23,1,24,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_1.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.2559,0,0,0,0,1,1.2024,h,0.5222,,
,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_19.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,space,0.6208,NAN,,NAN,,0,25,25,25,1,26,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_28.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,space,1.6406,NAN,,NAN,,0,26,26,26,1,27,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_13.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,space,0.4994,NAN,,NAN,,0,27,27,27,1,28,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_15.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,space,0.6809,NAN,,NAN,,0,28,28,28,1,29,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_17.jpeg,did not like,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.7702,0,0,0,0,1,1.4328,h,1.1959,,
,,,,,,,,3,,6,,0,29,29,29,1,30,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_14.jpeg,did not like,1.661473164,,,,,,,,,,,,,,
,,,,space,3.2468,space,0.7041,NAN,,NAN,,0,30,30,30,1,31,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_18.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,space,1.6165,NAN,,NAN,,0,31,31,31,1,32,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_9.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.4529,NAN,,NAN,,0,32,32,32,1,33,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_28.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,space,2.1838,NAN,,NAN,,0,33,33,33,1,34,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_7.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.9698,0,0,0,0,1,2.1506,h,0.929,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_8.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,space,0.6858,NAN,,NAN,,0,35,35,35,1,36,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_17.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.6854,NAN,,NAN,,0,36,36,36,1,37,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_30.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,space,1.0008,NAN,,NAN,,0,37,37,37,1,38,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_13.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,space,0.5871,NAN,,NAN,,0,38,38,38,1,39,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_4.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.071,0,0,0,0,1,2.5315,h,1.2255,,
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_5.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,space,1.0077,NAN,,NAN,,0,40,40,40,1,41,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_12.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,space,0.6463,NAN,,NAN,,0,41,41,41,1,42,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_29.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,space,1.1211,NAN,,NAN,,0,42,42,42,1,43,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_26.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.5067,NAN,,NAN,,0,43,43,43,1,44,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_16.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.615,0,0,0,0,1,1.5206,h,2.3968,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_23.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,space,0.9208,NAN,,NAN,,0,45,45,45,1,46,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_10.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,space,0.6214,NAN,,NAN,,0,46,46,46,1,47,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_24.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,space,0.6684,NAN,,NAN,,0,47,47,47,1,48,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_2.jpeg,liked,2.682944783,,,,,,,,,,,,,,
