endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,12.3814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,16.5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.02,0,0,0,0,1,1.6478,,,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_5.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,space,0.2982,NAN,,NAN,,0,20,20,20,1,21,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_4.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,space,0.5416,NAN,,NAN,,0,21,21,21,1,22,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_12.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,space,0.6805,NAN,,NAN,,0,22,22,22,1,23,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_28.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,space,0.3905,NAN,,NAN,,0,23,23,23,1,24,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_10.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.8825,0,0,0,0,1,2.1995,h,2.4225,,
,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_17.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,space,0.7276,NAN,,NAN,,0,25,25,25,1,26,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_25.jpeg,did not like,4.106391878,,,,,,,,,,,,,,
,,,,,,space,0.7547,NAN,,NAN,,0,26,26,26,1,27,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_26.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,space,0.3903,NAN,,NAN,,0,27,27,27,1,28,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_21.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,space,0.6904,NAN,,NAN,,0,28,28,28,1,29,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_23.jpeg,did not like,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6635,0,0,0,0,1,1.4406,,,,
,,,,,,,,3,,5,,0,29,29,29,1,30,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_16.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,space,1.931,space,0.3009,NAN,,NAN,,0,30,30,30,1,31,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_19.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,space,0.3023,NAN,,NAN,,0,31,31,31,1,32,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_16.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.2887,NAN,,NAN,,0,32,32,32,1,33,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_2.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,space,0.6601,NAN,,NAN,,0,33,33,33,1,34,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_7.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.9254,0,0,0,0,1,1.4103,,,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_15.jpeg,liked,2.455989137,,,,,,,,,,,,,,
