PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
610367ad785ce86ceb8d201c,space,12.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,11.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.603,0,0,0,0,1,1.296,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_15.jpeg,did not like,3.195382774,,,,,,,,,,,,
,,,,,,,space,0.621,NAN,,NAN,,0,20,20,20,1,21,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_18.jpeg,did not like,1.779333479,,,,,,,,,,,,
,,,,,,,space,0.52,NAN,,NAN,,0,21,21,21,1,22,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_13.jpeg,did not like,4.312468682,,,,,,,,,,,,
,,,,,,,space,4.803,NAN,,NAN,,0,22,22,22,1,23,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_8.jpeg,did not like,4.940433059,,,,,,,,,,,,
,,,,,,,space,0.749,NAN,,NAN,,0,23,23,23,1,24,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_9.jpeg,did not like,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.466,0,0,0,0,1,1.116,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_12.jpeg,did not like,3.602308302,,,,,,,,,,,,
,,,,,,,space,1.917,NAN,,NAN,,0,25,25,25,1,26,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_3.jpeg,liked,4.106391878,,,,,,,,,,,,
,,,,,,,space,1.115,NAN,,NAN,,0,26,26,26,1,27,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_21.jpeg,did not like,3.799433026,,,,,,,,,,,,
,,,,,,,space,0.938,NAN,,NAN,,0,27,27,27,1,28,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_24.jpeg,liked,5.246980764,,,,,,,,,,,,
,,,,,,,space,0.785,NAN,,NAN,,0,28,28,28,1,29,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_30.jpeg,did not like,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.251,0,0,0,0,1,1.431,,
,,,,,,,,,1,,1,,0,29,29,29,1,30,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_29.jpeg,liked,1.661473164,,,,,,,,,,,,
,,,,,space,30.473,space,7.052,NAN,,NAN,,0,30,30,30,1,31,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_28.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.987,NAN,,NAN,,0,31,31,31,1,32,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_19.jpeg,liked,4.988446431,,,,,,,,,,,,
