PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6400d8ca785ee04d9b02ae9c,space,10.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,6.5974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.3709,NAN,,NAN,,0,7,7,7,1,8,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_10.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.4659,NAN,,NAN,,0,8,8,8,1,9,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_24.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,2.4237,space,0.6169,0,0,0,0,1,h,1.8127,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_30.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.4412,NAN,,NAN,,0,10,10,10,1,11,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_12.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.5279,NAN,,NAN,,0,11,11,11,1,12,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_1.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.4731,NAN,,NAN,,0,12,12,12,1,13,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_20.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.5331,NAN,,NAN,,0,13,13,13,1,14,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_4.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.5835,space,0.6335,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_8.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.6144,NAN,,NAN,,0,15,15,15,1,16,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_18.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.5293,NAN,,NAN,,0,16,16,16,1,17,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_27.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.5368,NAN,,NAN,,0,17,17,17,1,18,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_2.jpeg,liked,2.682944783,,,,,,,,,,,,,,
