endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,end_screen_keys.keys,end_screen_keys.rt
space,6.1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.395,NAN,,NAN,,0,18,18,18,1,19,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_10.jpeg,liked,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.4194,space,0.5376,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_16.jpeg,did not like,3.195382774,,,,,,,,,,,,
,,,,,,space,0.5927,NAN,,NAN,,0,20,20,20,1,21,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_11.jpeg,liked,1.779333479,,,,,,,,,,,,
,,,,,,space,0.7384,NAN,,NAN,,0,21,21,21,1,22,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_9.jpeg,did not like,4.312468682,,,,,,,,,,,,
,,,,,,space,0.3701,NAN,,NAN,,0,22,22,22,1,23,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_30.jpeg,liked,4.940433059,,,,,,,,,,,,
,,,,,,space,0.6999,NAN,,NAN,,0,23,23,23,1,24,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_29.jpeg,liked,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.1412,space,1.0844,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_17.jpeg,did not like,3.602308302,,,,,,,,,,,,
,,,,,,space,0.7708,NAN,,NAN,,0,25,25,25,1,26,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_3.jpeg,liked,4.106391878,,,,,,,,,,,,
,,,,,,space,0.7211,NAN,,NAN,,0,26,26,26,1,27,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_27.jpeg,liked,3.799433026,,,,,,,,,,,,
,,,,,,space,0.5251,NAN,,NAN,,0,27,27,27,1,28,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_8.jpeg,did not like,5.246980764,,,,,,,,,,,,
,,,,,,space,0.7214,NAN,,NAN,,0,28,28,28,1,29,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_5.jpeg,did not like,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.6916,space,0.0854,0,0,0,0,1,,
,,,,,,,,3,,6,,0,29,29,29,1,30,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_25.jpeg,liked,1.661473164,,,,,,,,,,,,
,,,,space,1.2903,space,0.5529,NAN,,NAN,,0,30,30,30,1,31,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_10.jpeg,liked,3.613205605,,,,,,,,,,,,
,,,,,,space,0.3563,NAN,,NAN,,0,31,31,31,1,32,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_19.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,space,0.5323,NAN,,NAN,,0,32,32,32,1,33,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_11.jpeg,liked,3.470791822,,,,,,,,,,,,
,,,,,,space,1.0582,NAN,,NAN,,0,33,33,33,1,34,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_23.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,2.417,space,2.4651,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_16.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,space,0.9301,NAN,,NAN,,0,35,35,35,1,36,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_22.jpeg,did not like,3.79605092,,,,,,,,,,,,
,,,,,,space,2.5393,NAN,,NAN,,0,36,36,36,1,37,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_24.jpeg,did not like,3.562416326,,,,,,,,,,,,
,,,,,,space,5.5132,NAN,,NAN,,0,37,37,37,1,38,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_13.jpeg,did not like,2.843822497,,,,,,,,,,,,
,,,,,,space,1.5541,NAN,,NAN,,0,38,38,38,1,39,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_26.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,2.9697,space,2.1776,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_1.jpeg,liked,1.672012706,,,,,,,,,,,,
,,,,,,space,0.8665,NAN,,NAN,,0,40,40,40,1,41,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_18.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,space,1.6395,NAN,,NAN,,0,41,41,41,1,42,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_15.jpeg,did not like,2.50187214,,,,,,,,,,,,
,,,,,,space,0.7002,NAN,,NAN,,0,42,42,42,1,43,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_3.jpeg,did not like,2.071164779,,,,,,,,,,,,
,,,,,,space,1.4715,NAN,,NAN,,0,43,43,43,1,44,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_9.jpeg,did not like,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,2.273,space,1.9232,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_2.jpeg,did not like,2.642157193,,,,,,,,,,,,
,,,,,,space,1.0699,NAN,,NAN,,0,45,45,45,1,46,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_28.jpeg,did not like,4.456234322,,,,,,,,,,,,
,,,,,,space,1.4265,NAN,,NAN,,0,46,46,46,1,47,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_5.jpeg,did not like,4.438512181,,,,,,,,,,,,
,,,,,,space,2.5868,NAN,,NAN,,0,47,47,47,1,48,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_6.jpeg,did not like,2.682944783,,,,,,,,,,,,
,,,,,,space,3.574,NAN,,NAN,,0,48,48,48,1,49,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_14.jpeg,did not like,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.9861,space,4.4178,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_4.jpeg,did not like,3.195382774,,,,,,,,,,,,
,,,,,,space,1.9655,NAN,,NAN,,0,50,50,50,1,51,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_25.jpeg,liked,1.779333479,,,,,,,,,,,,
,,,,,,space,1.8062,NAN,,NAN,,0,51,51,51,1,52,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_29.jpeg,did not like,4.312468682,,,,,,,,,,,,
,,,,,,space,0.5398,NAN,,NAN,,0,52,52,52,1,53,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_30.jpeg,did not like,4.940433059,,,,,,,,,,,,
,,,,,,space,0.4457,NAN,,NAN,,0,53,53,53,1,54,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_12.jpeg,did not like,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.5979,space,3.2585,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_21.jpeg,did not like,3.602308302,,,,,,,,,,,,
,,,,,,space,1.0918,NAN,,NAN,,0,55,55,55,1,56,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_17.jpeg,liked,4.106391878,,,,,,,,,,,,
,,,,,,space,0.9057,NAN,,NAN,,0,56,56,56,1,57,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_7.jpeg,did not like,3.799433026,,,,,,,,,,,,
,,,,,,space,2.1998,NAN,,NAN,,0,57,57,57,1,58,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_8.jpeg,liked,5.246980764,,,,,,,,,,,,
,,,,,,space,1.7912,NAN,,NAN,,0,58,58,58,1,59,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_20.jpeg,did not like,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.7212,space,0.871,0,0,0,0,1,,
,,,,,,,,3,,6,,0,59,59,59,1,60,Riley,Rej,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_27.jpeg,did not like,1.661473164,,,,,,,,,,,,
,,,,space,5.5677,space,1.807,NAN,,NAN,,0,60,60,60,1,61,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_4.jpeg,liked,3.613205605,,,,,,,,,,,,
,,,,,,space,4.6635,NAN,,NAN,,0,61,61,61,1,62,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_9.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,space,0.6661,NAN,,NAN,,0,62,62,62,1,63,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_29.jpeg,liked,3.470791822,,,,,,,,,,,,
,,,,,,space,1.4328,NAN,,NAN,,0,63,63,63,1,64,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_15.jpeg,liked,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,3.3692,space,1.9471,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_1.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,space,1.9701,NAN,,NAN,,0,65,65,65,1,66,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_30.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,space,0.7837,NAN,,NAN,,0,66,66,66,1,67,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_8.jpeg,liked,3.562416326,,,,,,,,,,,,
,,,,,,space,1.427,NAN,,NAN,,0,67,67,67,1,68,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_13.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,space,1.9931,NAN,,NAN,,0,68,68,68,1,69,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_16.jpeg,did not like,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.29,space,1.4395,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_5.jpeg,liked,1.672012706,,,,,,,,,,,,
,,,,,,space,1.4546,NAN,,NAN,,0,70,70,70,1,71,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_28.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,space,1.1152,NAN,,NAN,,0,71,71,71,1,72,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_25.jpeg,liked,2.50187214,,,,,,,,,,,,
,,,,,,space,0.7263,NAN,,NAN,,0,72,72,72,1,73,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_7.jpeg,liked,2.071164779,,,,,,,,,,,,
,,,,,,space,0.3997,NAN,,NAN,,0,73,73,73,1,74,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_22.jpeg,liked,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,2.2223,space,1.1112,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_2.jpeg,did not like,2.642157193,,,,,,,,,,,,
,,,,,,space,0.7676,NAN,,NAN,,0,75,75,75,1,76,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_20.jpeg,liked,4.456234322,,,,,,,,,,,,
,,,,,,space,1.0885,NAN,,NAN,,0,76,76,76,1,77,Charlie,Acc,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_12.jpeg,liked,4.438512181,,,,,,,,,,,,
