PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
60ff1a1450c5e5c8fe6922d1,space,8.2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,12.5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.9474,space,1.2558,NAN,,NAN,,0,0,0,0,1,1,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_11.jpeg,liked,3.613205605,,,,,,,,,,,,,
,,,,,,,space,0.9406,NAN,,NAN,,0,1,1,1,1,2,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_19.jpeg,liked,4.988446431,,,,,,,,,,,,,
,,,,,,,space,0.6155,NAN,,NAN,,0,2,2,2,1,3,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_24.jpeg,liked,3.470791822,,,,,,,,,,,,,
,,,,,,,space,0.7746,NAN,,NAN,,0,3,3,3,1,4,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_6.jpeg,did not like,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.3708,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_8.jpeg,did not like,2.455989137,,,,,,,,,,,,,
,,,,,,,space,0.8286,NAN,,NAN,,0,5,5,5,1,6,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_17.jpeg,did not like,3.79605092,,,,,,,,,,,,,
,,,,,,,space,1.0283,NAN,,NAN,,0,6,6,6,1,7,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_29.jpeg,liked,3.562416326,,,,,,,,,,,,,
,,,,,,,space,0.722,NAN,,NAN,,0,7,7,7,1,8,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_4.jpeg,liked,2.843822497,,,,,,,,,,,,,
,,,,,,,space,0.8425,NAN,,NAN,,0,8,8,8,1,9,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_30.jpeg,liked,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.0466,0,0,0,0,1,2.4707,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_25.jpeg,liked,1.672012706,,,,,,,,,,,,,
,,,,,,,space,0.7311,NAN,,NAN,,0,10,10,10,1,11,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_14.jpeg,liked,4.942172136,,,,,,,,,,,,,
,,,,,,,space,0.774,NAN,,NAN,,0,11,11,11,1,12,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_22.jpeg,did not like,2.50187214,,,,,,,,,,,,,
,,,,,,,space,1.124,NAN,,NAN,,0,12,12,12,1,13,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_9.jpeg,did not like,2.071164779,,,,,,,,,,,,,
,,,,,,,space,1.3864,NAN,,NAN,,0,13,13,13,1,14,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_18.jpeg,liked,5.336503566,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.0337,0,0,0,0,1,3.7378,,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_3.jpeg,liked,2.642157193,,,,,,,,,,,,,
,,,,,,,space,1.6236,NAN,,NAN,,0,15,15,15,1,16,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_7.jpeg,liked,4.456234322,,,,,,,,,,,,,
,,,,,,,space,0.6608,NAN,,NAN,,0,16,16,16,1,17,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_27.jpeg,liked,4.438512181,,,,,,,,,,,,,
,,,,,,,space,0.6956,NAN,,NAN,,0,17,17,17,1,18,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_2.jpeg,did not like,2.682944783,,,,,,,,,,,,,
,,,,,,,space,1.411,NAN,,NAN,,0,18,18,18,1,19,Riley,Acc,Participant_Images/60ff1a1450c5e5c8fe6922d1/60ff1a1450c5e5c8fe6922d1_Images/60ff1a1450c5e5c8fe6922d1_Image_13.jpeg,liked,4.51984296,,,,,,,,,,,,,
