PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
62a885d5b6af18b3d4579e1b,space,0.6491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,6.2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.7664,space,1.7008,NAN,,NAN,,0,0,0,0,1,1,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_8.jpeg,liked,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.5904,NAN,,NAN,,0,1,1,1,1,2,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_6.jpeg,did not like,4.988446431,,,,,,,,,,,,
,,,,,,,space,0.2796,NAN,,NAN,,0,2,2,2,1,3,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_26.jpeg,liked,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.2672,NAN,,NAN,,0,3,3,3,1,4,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_10.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,2.0661,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_28.jpeg,did not like,2.455989137,,,,,,,,,,,,
,,,,,,,space,0.6351,NAN,,NAN,,0,5,5,5,1,6,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_19.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,,space,0.4353,NAN,,NAN,,0,6,6,6,1,7,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_1.jpeg,did not like,3.562416326,,,,,,,,,,,,
,,,,,,,space,0.2334,NAN,,NAN,,0,7,7,7,1,8,Sam,Neutral,Participant_Images/62a885d5b6af18b3d4579e1b/62a885d5b6af18b3d4579e1b_Images/62a885d5b6af18b3d4579e1b_Image_16.jpeg,did not like,2.843822497,,,,,,,,,,,,
