PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6100652c5329da76a962cdb3,space,14.5799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,69.4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.7462,NAN,,NAN,,0,18,18,18,1,19,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_15.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.5835,0,0,0,0,1,1.8414,h,1.2384,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_7.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.553,NAN,,NAN,,0,20,20,20,1,21,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_17.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.8535,NAN,,NAN,,0,21,21,21,1,22,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_28.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,1.6882,NAN,,NAN,,0,22,22,22,1,23,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_21.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.7057,NAN,,NAN,,0,23,23,23,1,24,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_25.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.6969,0,0,0,0,1,2.2542,l,1.9657,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_9.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.7202,NAN,,NAN,,0,25,25,25,1,26,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_1.jpeg,did not like,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.6658,NAN,,NAN,,0,26,26,26,1,27,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_20.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,9.4776,NAN,,NAN,,0,27,27,27,1,28,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_14.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.7107,NAN,,NAN,,0,28,28,28,1,29,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_4.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.6348,0,0,0,0,1,1.8468,h,1.2047,,
,,,,,,,,,2,,8,,0,29,29,29,1,30,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_5.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,1.6418,space,1.4249,NAN,,NAN,,0,30,30,30,1,31,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_5.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.7501,NAN,,NAN,,0,31,31,31,1,32,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_1.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.7951,NAN,,NAN,,0,32,32,32,1,33,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_20.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.7811,NAN,,NAN,,0,33,33,33,1,34,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_22.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.9633,0,0,0,0,1,3.9597,,,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_10.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,82.1594,NAN,,NAN,,0,35,35,35,1,36,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_18.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.7427,NAN,,NAN,,0,36,36,36,1,37,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_27.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.8574,NAN,,NAN,,0,37,37,37,1,38,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_24.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.69,NAN,,NAN,,0,38,38,38,1,39,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_2.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.7011,0,0,0,0,1,2.6856,h,2.0087,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_11.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.7537,NAN,,NAN,,0,40,40,40,1,41,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_12.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.9038,NAN,,NAN,,0,41,41,41,1,42,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_13.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.6659,NAN,,NAN,,0,42,42,42,1,43,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_26.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.8126,NAN,,NAN,,0,43,43,43,1,44,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_14.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.9701,0,0,0,0,1,1.9218,,,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_28.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.7095,NAN,,NAN,,0,45,45,45,1,46,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_7.jpeg,did not like,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.7684,NAN,,NAN,,0,46,46,46,1,47,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_9.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,1.0303,NAN,,NAN,,0,47,47,47,1,48,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_30.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.7053,NAN,,NAN,,0,48,48,48,1,49,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_3.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.7151,0,0,0,0,1,1.5051,l,0.5785,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Riley,Neutral,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_8.jpeg,liked,3.195382774,,,,,,,,,,,,,,
