PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,end_screen_keys.keys,end_screen_keys.rt
5f985596be2ea910b23827ed,space,0.6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,325.8853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.6704,space,2.64,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_20.jpeg,liked,3.195382774,,,,,,,,,,,,
,,,,,,,space,1.4869,NAN,,NAN,,0,20,20,20,1,21,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_24.jpeg,liked,1.779333479,,,,,,,,,,,,
,,,,,,,space,0.5668,NAN,,NAN,,0,21,21,21,1,22,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_5.jpeg,liked,4.312468682,,,,,,,,,,,,
,,,,,,,space,1.2849,NAN,,NAN,,0,22,22,22,1,23,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_23.jpeg,liked,4.940433059,,,,,,,,,,,,
,,,,,,,space,2.6196,NAN,,NAN,,0,23,23,23,1,24,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_8.jpeg,liked,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,,space,3.4173,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_27.jpeg,liked,3.602308302,,,,,,,,,,,,
,,,,,,,space,2.1462,NAN,,NAN,,0,25,25,25,1,26,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_11.jpeg,liked,4.106391878,,,,,,,,,,,,
,,,,,,,space,0.8167,NAN,,NAN,,0,26,26,26,1,27,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_17.jpeg,did not like,3.799433026,,,,,,,,,,,,
,,,,,,,space,1.0128,NAN,,NAN,,0,27,27,27,1,28,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_19.jpeg,liked,5.246980764,,,,,,,,,,,,
,,,,,,,space,0.5172,NAN,,NAN,,0,28,28,28,1,29,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_6.jpeg,liked,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.8515,space,5.0528,0,0,0,0,1,,
,,,,,,,,,3,,6,,0,29,29,29,1,30,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_10.jpeg,did not like,1.661473164,,,,,,,,,,,,
,,,,,space,0.6373,space,0.6216,NAN,,NAN,,0,30,30,30,1,31,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_19.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.5894,NAN,,NAN,,0,31,31,31,1,32,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_22.jpeg,did not like,4.988446431,,,,,,,,,,,,
,,,,,,,space,0.7884,NAN,,NAN,,0,32,32,32,1,33,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_3.jpeg,liked,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.5382,NAN,,NAN,,0,33,33,33,1,34,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_9.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.9035,space,1.7405,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_14.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,,space,0.851,NAN,,NAN,,0,35,35,35,1,36,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_10.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,,space,0.8717,NAN,,NAN,,0,36,36,36,1,37,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_2.jpeg,did not like,3.562416326,,,,,,,,,,,,
,,,,,,,space,0.7847,NAN,,NAN,,0,37,37,37,1,38,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_1.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,,space,0.6509,NAN,,NAN,,0,38,38,38,1,39,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_13.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.9343,space,0.5675,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_20.jpeg,liked,1.672012706,,,,,,,,,,,,
,,,,,,,space,0.7844,NAN,,NAN,,0,40,40,40,1,41,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_23.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,,space,1.1657,NAN,,NAN,,0,41,41,41,1,42,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_7.jpeg,liked,2.50187214,,,,,,,,,,,,
,,,,,,,space,0.7023,NAN,,NAN,,0,42,42,42,1,43,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_4.jpeg,did not like,2.071164779,,,,,,,,,,,,
,,,,,,,space,0.7846,NAN,,NAN,,0,43,43,43,1,44,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_26.jpeg,did not like,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.6341,space,0.5674,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_8.jpeg,liked,2.642157193,,,,,,,,,,,,
,,,,,,,space,1.1365,NAN,,NAN,,0,45,45,45,1,46,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_15.jpeg,did not like,4.456234322,,,,,,,,,,,,
,,,,,,,space,0.6333,NAN,,NAN,,0,46,46,46,1,47,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_17.jpeg,liked,4.438512181,,,,,,,,,,,,
,,,,,,,space,0.8177,NAN,,NAN,,0,47,47,47,1,48,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_27.jpeg,liked,2.682944783,,,,,,,,,,,,
,,,,,,,space,0.7893,NAN,,NAN,,0,48,48,48,1,49,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_21.jpeg,did not like,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.8187,space,0.7381,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_28.jpeg,did not like,3.195382774,,,,,,,,,,,,
,,,,,,,space,1.1849,NAN,,NAN,,0,50,50,50,1,51,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_11.jpeg,liked,1.779333479,,,,,,,,,,,,
,,,,,,,space,1.0057,NAN,,NAN,,0,51,51,51,1,52,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_29.jpeg,liked,4.312468682,,,,,,,,,,,,
,,,,,,,space,0.8342,NAN,,NAN,,0,52,52,52,1,53,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_30.jpeg,liked,4.940433059,,,,,,,,,,,,
,,,,,,,space,0.5881,NAN,,NAN,,0,53,53,53,1,54,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_12.jpeg,liked,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.7168,space,0.5689,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_24.jpeg,did not like,3.602308302,,,,,,,,,,,,
,,,,,,,space,1.5824,NAN,,NAN,,0,55,55,55,1,56,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_6.jpeg,did not like,4.106391878,,,,,,,,,,,,
,,,,,,,space,0.8235,NAN,,NAN,,0,56,56,56,1,57,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_16.jpeg,did not like,3.799433026,,,,,,,,,,,,
,,,,,,,space,0.6485,NAN,,NAN,,0,57,57,57,1,58,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_25.jpeg,did not like,5.246980764,,,,,,,,,,,,
,,,,,,,space,0.7176,NAN,,NAN,,0,58,58,58,1,59,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_18.jpeg,liked,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.8378,space,0.8269,0,0,0,0,1,,
,,,,,,,,,2,,4,,0,59,59,59,1,60,Riley,Neutral,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_5.jpeg,did not like,1.661473164,,,,,,,,,,,,
,,,,,space,0.9351,space,0.6674,NAN,,NAN,,0,60,60,60,1,61,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_9.jpeg,liked,3.613205605,,,,,,,,,,,,
,,,,,,,space,1.386,NAN,,NAN,,0,61,61,61,1,62,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_4.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,,space,0.9342,NAN,,NAN,,0,62,62,62,1,63,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_26.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.9632,NAN,,NAN,,0,63,63,63,1,64,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_11.jpeg,liked,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.766,space,0.788,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_2.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,,space,0.5504,NAN,,NAN,,0,65,65,65,1,66,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_15.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,,space,1.8372,NAN,,NAN,,0,66,66,66,1,67,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_28.jpeg,liked,3.562416326,,,,,,,,,,,,
