PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63d7ec164d40c184be89bf34,space,1.4534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,0.6215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,13.0822,space,1.4744,NAN,,NAN,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_20.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.6126,NAN,,NAN,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_21.jpeg,did not like,4.988446431,,,,,,,,,,,,
,,,,,,,space,0.8387,NAN,,NAN,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_5.jpeg,liked,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.8792,NAN,,NAN,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_14.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,1.8298,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_30.jpeg,did not like,2.455989137,,,,,,,,,,,,
,,,,,,,space,0.7026,NAN,,NAN,,0,5,5,5,1,6,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_15.jpeg,did not like,3.79605092,,,,,,,,,,,,
,,,,,,,space,0.5849,NAN,,NAN,,0,6,6,6,1,7,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_29.jpeg,liked,3.562416326,,,,,,,,,,,,
,,,,,,,space,0.5704,NAN,,NAN,,0,7,7,7,1,8,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_11.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,,space,0.8096,NAN,,NAN,,0,8,8,8,1,9,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_17.jpeg,did not like,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6596,0,0,0,0,1,0.8519,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_9.jpeg,did not like,1.672012706,,,,,,,,,,,,
,,,,,,,space,0.4175,NAN,,NAN,,0,10,10,10,1,11,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_22.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,,space,0.5815,NAN,,NAN,,0,11,11,11,1,12,Charlie,Rej,Participant_Images/63d7ec164d40c184be89bf34/63d7ec164d40c184be89bf34_Images/63d7ec164d40c184be89bf34_Image_3.jpeg,did not like,2.50187214,,,,,,,,,,,,
