endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
space,26.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,30.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.5328,NAN,,NAN,,0,18,18,18,1,19,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_5.jpeg,did not like,4.51984296,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5634,0,0,0,0,1,0.8732,,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_23.jpeg,did not like,3.195382774,,,,,,,,,,,,,
,,,,,,space,1.0558,NAN,,NAN,,0,20,20,20,1,21,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_28.jpeg,did not like,1.779333479,,,,,,,,,,,,,
,,,,,,space,0.5233,NAN,,NAN,,0,21,21,21,1,22,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_29.jpeg,did not like,4.312468682,,,,,,,,,,,,,
,,,,,,space,0.5515,NAN,,NAN,,0,22,22,22,1,23,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_10.jpeg,did not like,4.940433059,,,,,,,,,,,,,
,,,,,,space,0.4629,NAN,,NAN,,0,23,23,23,1,24,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_3.jpeg,did not like,2.7105123,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.547,0,0,0,0,1,1.1147,,,
,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_2.jpeg,liked,3.602308302,,,,,,,,,,,,,
,,,,,,space,0.6356,NAN,,NAN,,0,25,25,25,1,26,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_19.jpeg,liked,4.106391878,,,,,,,,,,,,,
,,,,,,space,0.3989,NAN,,NAN,,0,26,26,26,1,27,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_30.jpeg,did not like,3.799433026,,,,,,,,,,,,,
,,,,,,space,0.4428,NAN,,NAN,,0,27,27,27,1,28,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_22.jpeg,did not like,5.246980764,,,,,,,,,,,,,
,,,,,,space,0.4507,NAN,,NAN,,0,28,28,28,1,29,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_8.jpeg,did not like,3.30081769,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5279,0,0,0,0,1,0.9543,,,
,,,,,,,,1,,2,,0,29,29,29,1,30,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_11.jpeg,liked,1.661473164,,,,,,,,,,,,,
,,,,space,1.9619,space,0.5568,NAN,,NAN,,0,30,30,30,1,31,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_1.jpeg,liked,3.613205605,,,,,,,,,,,,,
,,,,,,space,1.4426,NAN,,NAN,,0,31,31,31,1,32,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_28.jpeg,liked,4.988446431,,,,,,,,,,,,,
,,,,,,space,0.3816,NAN,,NAN,,0,32,32,32,1,33,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_20.jpeg,liked,3.470791822,,,,,,,,,,,,,
,,,,,,space,0.8477,NAN,,NAN,,0,33,33,33,1,34,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_14.jpeg,did not like,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.8494,0,0,0,0,1,0.9309,,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_11.jpeg,did not like,2.455989137,,,,,,,,,,,,,
,,,,,,space,0.5923,NAN,,NAN,,0,35,35,35,1,36,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_5.jpeg,liked,3.79605092,,,,,,,,,,,,,
,,,,,,space,2.6472,NAN,,NAN,,0,36,36,36,1,37,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_30.jpeg,liked,3.562416326,,,,,,,,,,,,,
,,,,,,space,0.3862,NAN,,NAN,,0,37,37,37,1,38,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_2.jpeg,liked,2.843822497,,,,,,,,,,,,,
,,,,,,space,0.4863,NAN,,NAN,,0,38,38,38,1,39,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_13.jpeg,liked,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.8901,0,0,0,0,1,0.9965,,,
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_17.jpeg,did not like,1.672012706,,,,,,,,,,,,,
,,,,,,space,0.9554,NAN,,NAN,,0,40,40,40,1,41,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_3.jpeg,did not like,4.942172136,,,,,,,,,,,,,
,,,,,,space,0.4854,NAN,,NAN,,0,41,41,41,1,42,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_4.jpeg,liked,2.50187214,,,,,,,,,,,,,
