PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
60f4e3ab507bbb123f866e88,space,10.9819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,11.3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.5135,space,1.6766,NAN,,NAN,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_16.jpeg,did not like,3.613205605,,,,,,,,,,,,,
,,,,,,,space,1.2867,NAN,,NAN,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_1.jpeg,did not like,4.988446431,,,,,,,,,,,,,
,,,,,,,space,1.1567,NAN,,NAN,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_24.jpeg,did not like,3.470791822,,,,,,,,,,,,,
,,,,,,,space,1.9475,NAN,,NAN,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_8.jpeg,liked,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.0687,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_13.jpeg,liked,2.455989137,,,,,,,,,,,,,
,,,,,,,space,1.8825,NAN,,NAN,,0,5,5,5,1,6,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_30.jpeg,liked,3.79605092,,,,,,,,,,,,,
,,,,,,,space,1.1188,NAN,,NAN,,0,6,6,6,1,7,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_20.jpeg,did not like,3.562416326,,,,,,,,,,,,,
,,,,,,,space,2.5329,NAN,,NAN,,0,7,7,7,1,8,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_12.jpeg,liked,2.843822497,,,,,,,,,,,,,
,,,,,,,space,0.5979,NAN,,NAN,,0,8,8,8,1,9,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_25.jpeg,liked,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.9742,0,0,0,0,1,2.3965,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_7.jpeg,did not like,1.672012706,,,,,,,,,,,,,
,,,,,,,space,1.9183,NAN,,NAN,,0,10,10,10,1,11,Charlie,Rej,Participant_Images/60f4e3ab507bbb123f866e88/60f4e3ab507bbb123f866e88_Images/60f4e3ab507bbb123f866e88_Image_21.jpeg,did not like,4.942172136,,,,,,,,,,,,,
