PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
64023a98627b1116180dff0b,space,21.9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,24.8971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.4701,0,0,0,0,1,1.1624,,,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_30.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,1.1079,NAN,,NAN,,0,20,20,20,1,21,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_23.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.2859,NAN,,NAN,,0,21,21,21,1,22,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_26.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.8151,NAN,,NAN,,0,22,22,22,1,23,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_28.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.8314,NAN,,NAN,,0,23,23,23,1,24,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_21.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.2371,0,0,0,0,1,1.4316,l,2.68,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_3.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.5376,NAN,,NAN,,0,25,25,25,1,26,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_11.jpeg,did not like,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.5751,NAN,,NAN,,0,26,26,26,1,27,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_15.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.5962,NAN,,NAN,,0,27,27,27,1,28,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_22.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.8602,NAN,,NAN,,0,28,28,28,1,29,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_5.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.8543,0,0,0,0,1,1.449,h,0.9617,,
,,,,,,,,,3,,6,,0,29,29,29,1,30,Riley,Neutral,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_27.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,4.1022,space,1.7408,NAN,,NAN,,0,30,30,30,1,31,Alex,Acc,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_3.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.8469,NAN,,NAN,,0,31,31,31,1,32,Alex,Acc,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_24.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.839,NAN,,NAN,,0,32,32,32,1,33,Alex,Acc,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_18.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,1.1153,NAN,,NAN,,0,33,33,33,1,34,Alex,Acc,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_6.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.1185,0,0,0,0,1,1.1575,,,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Alex,Acc,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_22.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.8187,NAN,,NAN,,0,35,35,35,1,36,Alex,Acc,Participant_Images/64023a98627b1116180dff0b/64023a98627b1116180dff0b_Images/64023a98627b1116180dff0b_Image_11.jpeg,liked,3.79605092,,,,,,,,,,,,,,
