PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6154a88b71a7f4347658b0f7,space,9.2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,space,16.4582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,,,space,1.2256,space,1.1483,NAN,,NAN,,0.0,0.0,0.0,0.0,1.0,1.0,Charlie,Rej,Participant_Images/6154a88b71a7f4347658b0f7/6154a88b71a7f4347658b0f7_Images/6154a88b71a7f4347658b0f7_Image_24.jpeg,liked,3.613205605,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,,,,,space,0.654,NAN,,NAN,,0.0,1.0,1.0,1.0,1.0,2.0,Charlie,Rej,Participant_Images/6154a88b71a7f4347658b0f7/6154a88b71a7f4347658b0f7_Images/6154a88b71a7f4347658b0f7_Image_15.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,,,,,space,0.7793,NAN,,NAN,,0.0,2.0,2.0,2.0,1.0,3.0,Charlie,Rej,Participant_Images/6154a88b71a7f4347658b0f7/6154a88b71a7f4347658b0f7_Images/6154a88b71a7f4347658b0f7_Image_22.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,,,,,space,0.5056,NAN,,NAN,,0.0,3.0,3.0,3.0,1.0,4.0,Charlie,Rej,Participant_Images/6154a88b71a7f4347658b0f7/6154a88b71a7f4347658b0f7_Images/6154a88b71a7f4347658b0f7_Image_1.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,,,,,,,,,,,,,,,,,,,,,,s,1.0,3.7767,,space,2.1136,0.0,0.0,0.0,0.0,1.0,,,
6154a88b71a7f4347658b0f7,,,,,,,,,NAN,,NAN,,0.0,4.0,4.0,4.0,1.0,5.0,Charlie,Rej,Participant_Images/6154a88b71a7f4347658b0f7/6154a88b71a7f4347658b0f7_Images/6154a88b71a7f4347658b0f7_Image_8.jpeg,liked,2.455989137,,,,,,,,,,,,,,
6154a88b71a7f4347658b0f7,,,,,,,space,0.5542,NAN,,NAN,,0.0,5.0,5.0,5.0,1.0,6.0,Charlie,Rej,Participant_Images/6154a88b71a7f4347658b0f7/6154a88b71a7f4347658b0f7_Images/6154a88b71a7f4347658b0f7_Image_19.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
