PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
63d40481d12fc9cc4c1adab0,space,2296.1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,9.2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.9348,space,4.6683,NAN,,NAN,,0,0,0,0,1,1,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_22.jpeg,liked,3.613205605,,,,,,,,,,,,,
,,,,,,,space,4.9346,NAN,,NAN,,0,1,1,1,1,2,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_29.jpeg,did not like,4.988446431,,,,,,,,,,,,,
,,,,,,,space,5.7028,NAN,,NAN,,0,2,2,2,1,3,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_19.jpeg,liked,3.470791822,,,,,,,,,,,,,
,,,,,,,space,2.052,NAN,,NAN,,0,3,3,3,1,4,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_27.jpeg,did not like,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,4.8106,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_8.jpeg,did not like,2.455989137,,,,,,,,,,,,,
,,,,,,,space,1.242,NAN,,NAN,,0,5,5,5,1,6,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_26.jpeg,liked,3.79605092,,,,,,,,,,,,,
,,,,,,,space,0.9845,NAN,,NAN,,0,6,6,6,1,7,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_13.jpeg,liked,3.562416326,,,,,,,,,,,,,
,,,,,,,space,1.1034,NAN,,NAN,,0,7,7,7,1,8,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_7.jpeg,liked,2.843822497,,,,,,,,,,,,,
,,,,,,,space,0.9686,NAN,,NAN,,0,8,8,8,1,9,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_24.jpeg,did not like,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.59,0,0,0,0,1,0.6402,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_6.jpeg,liked,1.672012706,,,,,,,,,,,,,
,,,,,,,space,3.3436,NAN,,NAN,,0,10,10,10,1,11,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_16.jpeg,did not like,4.942172136,,,,,,,,,,,,,
,,,,,,,space,7.2433,NAN,,NAN,,0,11,11,11,1,12,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_12.jpeg,liked,2.50187214,,,,,,,,,,,,,
,,,,,,,space,5.0515,NAN,,NAN,,0,12,12,12,1,13,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_4.jpeg,did not like,2.071164779,,,,,,,,,,,,,
,,,,,,,space,1.5857,NAN,,NAN,,0,13,13,13,1,14,Riley,Neutral,Participant_Images/63d40481d12fc9cc4c1adab0/63d40481d12fc9cc4c1adab0_Images/63d40481d12fc9cc4c1adab0_Image_11.jpeg,did not like,5.336503566,,,,,,,,,,,,,
