TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_24.jpeg,liked,3.613205605
2,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_21.jpeg,liked,4.988446431
3,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_14.jpeg,did not like,3.470791822
4,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_27.jpeg,liked,3.820572462
5,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_2.jpeg,liked,2.455989137
6,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_26.jpeg,liked,3.79605092
7,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_20.jpeg,liked,3.562416326
8,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_8.jpeg,liked,2.843822497
9,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_19.jpeg,liked,3.546495948
10,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_15.jpeg,did not like,1.672012706
11,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_10.jpeg,liked,4.942172136
12,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_28.jpeg,did not like,2.50187214
13,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_25.jpeg,liked,2.071164779
14,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_16.jpeg,liked,5.336503566
15,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_12.jpeg,liked,2.642157193
16,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_11.jpeg,did not like,4.456234322
17,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_7.jpeg,liked,4.438512181
18,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_9.jpeg,liked,2.682944783
19,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_1.jpeg,did not like,4.51984296
20,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_29.jpeg,did not like,3.195382774
21,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_17.jpeg,did not like,1.779333479
22,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_30.jpeg,liked,4.312468682
23,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_22.jpeg,did not like,4.940433059
24,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_13.jpeg,liked,2.7105123
25,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_6.jpeg,liked,3.602308302
